YEAR,MONTH_NUMBER,MONTH,REPORT_PERIOD,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,COMPLAINT,INITIATED_BY,STATUS,COUNT,LATITUDE,LONGITUDE
2016,3,MARCH,Mar-16,Terrace Heights,6730,1,By-law Officer,Under Investigation,1,53.54208074,-113.4378011
2016,3,MARCH,Mar-16,Lee Ridge,6400,1,Citizen,Under Investigation,2,53.46959297,-113.4443553
2016,3,MARCH,Mar-16,Killarney,2420,1,Citizen,Under Investigation,1,53.58848869,-113.4795684
2016,3,MARCH,Mar-16,Kenilworth,6350,2,By-law Officer,Under Investigation,1,53.52163312,-113.4310424
2016,3,MARCH,Mar-16,Michaels Park,6480,1,Citizen,Under Investigation,1,53.47957489,-113.4462136
2016,3,MARCH,Mar-16,Glenwood,4180,1,Citizen,Under Investigation,1,53.53641656,-113.6027698
2016,2,FEBRUARY,Feb-16,Jasper Park,4230,1,By-law Officer,Under Investigation,1,53.52307007,-113.5841053
2016,2,FEBRUARY,Feb-16,Strathcona,5480,1,By-law Officer,Under Investigation,1,53.52239019,-113.4909856
2016,2,FEBRUARY,Feb-16,Klarvatten,2440,2,By-law Officer,Under Investigation,1,53.637224,-113.4766651
2016,3,MARCH,Mar-16,Kennedale Industrial,2380,1,By-law Officer,Under Investigation,1,53.59084912,-113.4234005
2016,3,MARCH,Mar-16,Mayliewan,2511,1,By-law Officer,Under Investigation,1,53.62229022,-113.4602645
2016,3,MARCH,Mar-16,Evansdale,2260,1,By-law Officer,Under Investigation,1,53.61084111,-113.4795689
2016,3,MARCH,Mar-16,Aldergrove,4020,1,Citizen,Under Investigation,1,53.51688847,-113.641242
2016,2,FEBRUARY,Feb-16,Carlisle,3090,1,By-law Officer,Under Investigation,1,53.60352022,-113.5259146
2016,3,MARCH,Mar-16,Secord,4487,2,Citizen,Under Investigation,1,53.5339371,-113.7013528
2016,3,MARCH,Mar-16,Rosenthal,4750,2,By-law Officer,Under Investigation,1,53.51939766,-113.7012109
2016,3,MARCH,Mar-16,Chambery,3120,1,Citizen,Under Investigation,1,53.64076376,-113.5117614
2016,3,MARCH,Mar-16,Eaux Claires,2241,1,By-law Officer,Under Investigation,1,53.62163882,-113.4856372
2016,3,MARCH,Mar-16,Royal Gardens,5430,1,Citizen,Under Investigation,1,53.47941922,-113.5280553
2016,3,MARCH,Mar-16,Idylwylde,6320,1,Citizen,Under Investigation,2,53.52162992,-113.4491139
2016,3,MARCH,Mar-16,Carlisle,3090,2,Citizen,Under Investigation,1,53.60352022,-113.5259146
2016,3,MARCH,Mar-16,Kildare,2400,1,Citizen,Under Investigation,1,53.60329284,-113.4551501
2016,3,MARCH,Mar-16,Hollick-Kenyon,2340,1,Citizen,Under Investigation,1,53.62224418,-113.4222879
2016,3,MARCH,Mar-16,Maple Ridge,6410,1,Citizen,Under Investigation,1,53.50205014,-113.3630627
2016,2,FEBRUARY,Feb-16,Brintnell,2110,2,Citizen,Under Investigation,1,53.6213944,-113.4071143
2016,3,MARCH,Mar-16,Tweddle Place,6760,2,By-law Officer,Under Investigation,1,53.47836951,-113.4591601
2016,3,MARCH,Mar-16,Brintnell,2110,1,By-law Officer,Under Investigation,1,53.6213944,-113.4071143
2016,3,MARCH,Mar-16,Beacon Heights,2040,1,Citizen,Under Investigation,2,53.57353938,-113.4060401
2016,3,MARCH,Mar-16,Beverly Heights,2100,1,Citizen,Under Investigation,1,53.56412227,-113.4026524
2016,3,MARCH,Mar-16,West Jasper Place,4580,1,Citizen,Under Investigation,3,53.53662987,-113.5841443
2016,3,MARCH,Mar-16,Cromdale,1070,1,Citizen,Under Investigation,1,53.55906092,-113.4690431
2016,3,MARCH,Mar-16,Inglewood,3240,1,Citizen,Under Investigation,3,53.56460647,-113.5408522
2016,3,MARCH,Mar-16,Highlands,2330,2,By-law Officer,Under Investigation,1,53.56599859,-113.4301705
2016,2,FEBRUARY,Feb-16,Lymburn,4270,1,Citizen,Under Investigation,1,53.50753241,-113.6423002
2016,2,FEBRUARY,Feb-16,Bellevue,2060,1,By-law Officer,Under Investigation,1,53.56641743,-113.4459425
2016,3,MARCH,Mar-16,Glenwood,4180,1,By-law Officer,Under Investigation,10,53.53641656,-113.6027698
2016,3,MARCH,Mar-16,Lago Lindo,2450,1,By-law Officer,Under Investigation,2,53.63603897,-113.4846473
2016,3,MARCH,Mar-16,Belmont,2070,2,By-law Officer,Under Investigation,1,53.59312408,-113.3943792
2016,2,FEBRUARY,Feb-16,Ellerslie,6211,1,Citizen,Under Investigation,1,53.42854541,-113.4577314
2016,3,MARCH,Mar-16,Caernarvon,3060,1,By-law Officer,Under Investigation,2,53.61189975,-113.5264017
2016,3,MARCH,Mar-16,Greenfield,5220,1,Citizen,Under Investigation,1,53.47107265,-113.5275054
2016,3,MARCH,Mar-16,Gariepy,4160,1,Citizen,Under Investigation,1,53.4935965,-113.6226569
2016,2,FEBRUARY,Feb-16,High Park,4200,1,By-law Officer,Under Investigation,2,53.55498578,-113.5841993
2016,2,FEBRUARY,Feb-16,West Jasper Place,4580,1,By-law Officer,Under Investigation,2,53.53662987,-113.5841443
2016,3,MARCH,Mar-16,Tamarack,6443,1,Citizen,Under Investigation,1,53.46481389,-113.3591655
2016,2,FEBRUARY,Feb-16,Lauderdale,3260,1,By-law Officer,Under Investigation,4,53.58844885,-113.5042562
2016,3,MARCH,Mar-16,Delwood,2230,1,Citizen,Under Investigation,2,53.59594894,-113.4551303
2016,2,FEBRUARY,Feb-16,Riverdale,1210,1,By-law Officer,Under Investigation,1,53.54410729,-113.4690109
2016,3,MARCH,Mar-16,Britannia Youngstown,4060,1,Citizen,Under Investigation,1,53.54629462,-113.6015104
2016,2,FEBRUARY,Feb-16,King Edward Park,6360,1,Citizen,Under Investigation,2,53.51515116,-113.4521318
2016,3,MARCH,Mar-16,Cromdale,1070,1,By-law Officer,Under Investigation,1,53.55906092,-113.4690431
2016,3,MARCH,Mar-16,Oxford,3320,1,By-law Officer,Under Investigation,1,53.6221978,-113.5472917
2016,2,FEBRUARY,Feb-16,Elmwood Park,1130,1,Citizen,Under Investigation,1,53.57959138,-113.4609168
2016,3,MARCH,Mar-16,Westwood,1250,1,Citizen,Under Investigation,1,53.57594236,-113.4985846
2016,3,MARCH,Mar-16,Argyll,6010,1,By-law Officer,Under Investigation,2,53.50310078,-113.4605388
2016,3,MARCH,Mar-16,Richford,5451,1,By-law Officer,Under Investigation,1,53.42726986,-113.5073945
